key,passenger_light,electric_light,diesel_bus,electric_bus,heavy_rail,light_rail,walking,cycling
vkt_2018,10262135909,72341340.75,54279010,0,4016122,0,212985370,93030814.01
pkt_2018,16214174736,114299318.4,470447146,0,254496267,0,212985370,93030814.01
emissions_2018,0,0,0,0,0,0,0,0
vkt_2030_baseline,13058495111,92053842.67,54279010,0,4016122,0,271022371.7,118381050.6
pkt_2030_baseline,20632422275,145445071.4,470447146,0,254496267,0,271022371.7,118381050.6
emissions_2030_baseline,0,0,0,0,0,0,0,0
vkt_2030_scenario,13058495111,92053842.67,54279010,0,4016122,0,271022371.7,118381050.6
pkt_2030_scenario,20632422275,145445071.4,470447146,0,254496267,0,271022371.7,118381050.6
emissions_2030_scenario,0,0,0,0,0,0,0,0
